,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
13,ABEXEM_freeONLY,4.35567,3.3888,4.35567,1.89715,470.014,247.747,3.16833,1.67004,0.424753,0.22389,0,La,No,
14,ABEXEN_freeONLY,18.8079,13.71867,18.7996,0.674371,1637.82,2428.67,11.224,16.6437,0.751927,1.11501,0,In,No,
15,ABEXIQ_freeONLY,4.27704,3.44359,4.27704,1.92553,440.974,229.014,8.22555,4.27184,0.421347,0.218821,0,Ce,No,
16,ABEXOW_freeONLY,4.23118,3.39335,4.20341,1.95197,368.709,188.891,8.63518,4.42384,0.41939,0.214855,0,Pr,No,
17,ABEXUC_freeONLY,4.19938,3.32185,4.19092,1.98907,348.18,175.046,6.10788,3.07072,0.41531,0.208796,0,Nd,No,
18,ABEYAJ_freeONLY,4.13217,3.42102,4.10295,2.04932,421.803,205.826,4.68535,2.28629,0.409944,0.200039,1.56E-06,Sm,No,
19,ABEYEN_freeONLY,4.10698,3.3714,4.08443,2.07329,332.408,160.329,6.5207,3.1451,0.407351,0.196476,8.68E-07,Eu,No,
20,ABEYIR_freeONLY,4.08888,3.34226,4.08888,2.11451,301.773,142.715,4.01952,1.90092,0.406196,0.1921,6.62E-07,Gd,No,
21,ABIXOZ_freeONLY,5.73439,3.88117,4.98175,2.09588,1316.76,628.26,0,0,0.527268,0.251573,7.16E-06,"Mo,Co",No,
22,ABIYIV_freeONLY,4.33176,3.82431,4.32093,1.34661,576.563,428.16,0,0,0.446995,0.331942,0,Co,No,
23,ABULOB_freeONLY,4.86958,4.16445,4.86236,1.31921,1215.55,921.424,0,0,0.530898,0.402436,0,Be,No,
24,ABUXUT_freeONLY,3.19023,2.95493,3.17856,1.65738,0,0,0,0,0.349744,0.211022,0,Cu,Yes,Cu
25,ACAJIY_freeONLY,4.94767,3.4178,4.77873,1.0939,804.066,735.043,0,0,0.542387,0.495827,0,Zn,No,
26,ACAJIZ_freeONLY,6.18649,5.74044,6.18649,1.30148,994.476,764.113,0,0,0.48452,0.372284,0,Cu,No,
27,ACAJOF_freeONLY,6.86398,6.10482,6.86398,1.21871,1127.05,924.788,0,0,0.510335,0.418749,0,Cu,No,
28,ACATAA_freeONLY,7.11145,5.24842,7.11145,1.76261,1268.71,719.793,0,0,0.528267,0.299708,0,Cu,No,
29,ACENIF_freeONLY,5.47584,4.1853,5.45477,1.31331,1262.43,961.253,0,0,0.536726,0.408681,0,Zn,No,
30,ACIBIY_freeONLY,5.10081,3.73403,5.09695,1.73515,896.798,516.842,0,0,0.470354,0.271074,0,Co,No,
31,ACIBOE_freeONLY,8.24326,7.0131,8.24326,1.27325,1014.43,796.725,283,222.267,0.568573,0.446554,0,Zn,No,
32,ACMPCD_freeONLY,5.66015,4.60589,5.66015,1.75058,435.951,249.033,13.5182,7.72214,0.432011,0.246782,0,Cd,Yes,Cd
33,ACOCOM_freeONLY,19.94572,13.0343,19.94572,0.362539,1637.24,4516.04,0,0,0.859887,2.37185,0,Cu,No,
34,ACOCUS_freeONLY,20.17489,13.22221,20.17489,0.35893,1612.78,4493.31,0,0,0.861745,2.40087,0,Zn,Yes,Zn
35,ACODAZ_freeONLY,20.13717,13.11367,20.11813,0.35564,1609.04,4524.34,0,0,0.859695,2.41732,0,Co,No,
36,ACODED_freeONLY,6.07071,3.76963,6.00167,1.13147,1311.4,1159.02,0,0,0.541843,0.478883,0,Cu,No,
37,ACODIH_freeONLY,6.22211,4.80822,6.21542,1.21414,1705.87,1405.01,0,0,0.571376,0.470602,0,Zn,Yes,Zn
38,ACODON_freeONLY,7.1439,4.65537,7.12384,1.14924,1731.15,1506.35,0,0,0.600978,0.522937,0,Tb,No,
39,ACODUT_freeONLY,5.4607,3.37779,5.4607,1.51914,454.438,299.142,0,0,0.452092,0.297598,0,Yb,No,
40,ACOGAB_freeONLY,5.20085,3.89327,4.84433,1.15458,1438.61,1246.01,0,0,0.560599,0.485546,0,Cd,No,
41,ACOGEF_freeONLY,5.20115,3.94888,4.87886,1.25952,1444.47,1146.84,0,0,0.55576,0.441248,0,Cd,No,
42,ACOLEL_freeONLY,4.00255,2.78217,3.89811,1.45481,0,0,32.2292,22.1535,0.351066,0.241313,0,Mn,Yes,Mn
43,ACOLIP_freeONLY,4.90589,3.55819,4.6282,1.04949,1065.58,1015.34,0,0,0.54569,0.519959,0,Zn,No,
44,ACOLOV_freeONLY,8.42183,5.53552,8.41851,0.932883,1934.89,2074.1,0,0,0.647688,0.694287,0,Cd,Yes,Cd
45,ACOLUB_freeONLY,7.43814,4.98761,7.36693,1.08434,1556.97,1435.87,0,0,0.589674,0.54381,0,Cd,Yes,Cd
46,ACUBAB_freeONLY,6.47774,4.29835,6.41563,2.30944,1193.04,516.594,0,0,0.516514,0.223653,0,Zn,Yes,Zn
47,ACUFEK_freeONLY,13.15753,7.60188,13.15753,0.584587,2170.9,3713.56,0,0,0.770422,1.31789,0,Cu,No,
48,ACUJOZ_freeONLY,11.49138,4.36134,10.49588,0.741908,2519.57,3396.07,0,0,0.722881,0.974355,0,"Cr,Cu",No,
49,ACUTOI_freeONLY,5.1853,4.37677,5.17496,1.78325,610.538,342.374,0,0,0.381638,0.214013,0,"Na,Cd",No,
50,ADABAK01_freeONLY,3.98649,3.25353,3.98648,1.60777,0,0,169.936,105.696,0.408064,0.253807,0,Cu,Yes,Cu
51,ADABAK_freeONLY,3.92229,3.38974,3.92229,1.63969,202.593,123.556,0,0,0.393974,0.240274,0,Cu,Yes,Cu
52,ADABIS_freeONLY,3.97278,3.05346,3.97278,1.65299,0,0,161.972,97.9875,0.393795,0.238232,0,Cu,Yes,Cu
