,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
6479,LULHUW_clean,4.08097,3.25892,4.06963,1.25703,0,0,693.912,552.026,0.541179,0.430523,0,Ni,Yes,Ni
2340,EHUCOA_clean,5.17903,3.25891,5.16911,0.982476,0,0,1159.19,1179.87,0.571841,0.582041,0,"Mn,Cr",Yes,Mn
2701,EWILON_clean,7.32231,3.25878,7.31405,1.45934,0,0,1202.49,823.999,0.520533,0.356691,0.000381817,Zr,No,
2497,ENUCOG_clean,4.91468,3.25846,4.91468,1.86086,0,0,503.177,270.4,0.498384,0.267824,0,"Cd,Ni",Yes,Ni
11191,UHISOU_clean,4.50899,3.25805,4.50899,1.23297,0,0,859.037,696.719,0.508207,0.41218,0,Mg,Yes,Mg
14087,ZARTAP02_clean,3.51968,3.258,3.5001,1.37517,0,0,23.4981,17.0874,0.489567,0.356004,0,Fe,No,
1418,COYVAO01_clean,4.95313,3.25769,4.87224,1.92367,0,0,709.043,368.588,0.456196,0.237149,0,Dy,Yes,Dy
10089,SAJLOH_clean,3.90843,3.25747,3.90843,1.50144,0,0,672.181,447.69,0.533827,0.355543,0,Cu,Yes,Cu
4579,IDAGUR_clean,4.21795,3.2565,4.15153,1.38333,0,0,522.03,377.373,0.427774,0.309235,0,Mn,Yes,Mn
595,BAHGUN03_clean,4.21575,3.25638,4.21508,1.50254,0,0,336.171,223.734,0.415867,0.276775,0,Cu,Yes,Cu
1595,DACXOV_clean,5.17401,3.25603,5.17401,1.44948,0,0,685.235,472.746,0.452946,0.312489,0,Tb,No,
3628,GIFFAE_clean,5.12876,3.25577,5.12145,1.85543,0,0,1236.92,666.649,0.54836,0.295543,0,Sm,Yes,Sm
11771,VARREL_clean,6.17066,3.2556,6.17066,1.74331,0,0,875.238,502.057,0.512908,0.294216,0,"La,Gd",No,
7622,NOFQII_clean,6.19412,3.25534,6.19412,1.72407,0,0,870.898,505.14,0.513756,0.29799,0,"Eu,La",No,
4995,IXAMAW_clean,4.41975,3.25525,4.41975,1.96428,0,0,482.745,245.762,0.476685,0.242677,0,Fe,Yes,Fe
8131,OPUDIN_clean,3.98752,3.25511,3.98752,2.44532,0,0,342.492,140.06,0.394914,0.161498,0,Zn,Yes,Zn
597,BAHGUN_clean,4.23937,3.25457,4.23733,1.49375,0,0,339.522,227.295,0.419224,0.280651,0,Cu,Yes,Cu
